crop_name,adm_id,date,ndvi
maize,MX01,20010101,0.249
maize,MX02,20010101,0.303
maize,MX03,20010101,0.191
maize,MX04,20010101,0.785
maize,MX05,20010101,0.272
maize,MX06,20010101,0.532
maize,MX07,20010101,0.514
maize,MX08,20010101,0.205
maize,MX09,20010101,0.285
maize,MX10,20010101,0.261
maize,MX11,20010101,0.294
maize,MX12,20010101,0.375
maize,MX13,20010101,0.326
maize,MX14,20010101,0.331
maize,MX15,20010101,0.313
maize,MX16,20010101,0.365
maize,MX17,20010101,0.335
maize,MX18,20010101,0.563
maize,MX19,20010101,0.35
maize,MX20,20010101,0.534
maize,MX21,20010101,0.303
maize,MX22,20010101,0.303
maize,MX23,20010101,0.83
maize,MX24,20010101,0.406
maize,MX25,20010101,0.523
maize,MX26,20010101,0.358
maize,MX27,20010101,0.738
maize,MX28,20010101,0.444
maize,MX29,20010101,0.253
maize,MX30,20010101,0.624
maize,MX31,20010101,0.777
maize,MX32,20010101,0.246
maize,MX01,20010109,0.248
maize,MX02,20010109,0.343
maize,MX03,20010109,0.179
maize,MX04,20010109,0.761
maize,MX05,20010109,0.283
maize,MX06,20010109,0.543
maize,MX07,20010109,0.486
maize,MX08,20010109,0.216
maize,MX09,20010109,0.282
maize,MX10,20010109,0.254
maize,MX11,20010109,0.307
maize,MX12,20010109,0.386
maize,MX13,20010109,0.33
maize,MX14,20010109,0.323
maize,MX15,20010109,0.309
maize,MX16,20010109,0.372
maize,MX17,20010109,0.334
maize,MX18,20010109,0.56
maize,MX19,20010109,0.317
maize,MX20,20010109,0.526
maize,MX21,20010109,0.298
maize,MX22,20010109,0.324
maize,MX23,20010109,0.841
maize,MX24,20010109,0.391
maize,MX25,20010109,0.524
maize,MX26,20010109,0.383
maize,MX27,20010109,0.732
maize,MX28,20010109,0.458
maize,MX29,20010109,0.251
maize,MX30,20010109,0.628
maize,MX31,20010109,0.758
maize,MX32,20010109,0.242
maize,MX01,20010117,0.241
maize,MX02,20010117,0.368
maize,MX03,20010117,0.178
maize,MX04,20010117,0.734
maize,MX05,20010117,0.263
maize,MX06,20010117,0.506
maize,MX07,20010117,0.472
maize,MX08,20010117,0.209
maize,MX09,20010117,0.274
maize,MX10,20010117,0.245
maize,MX11,20010117,0.305
maize,MX12,20010117,0.372
maize,MX13,20010117,0.329
maize,MX14,20010117,0.306
maize,MX15,20010117,0.299
maize,MX16,20010117,0.362
maize,MX17,20010117,0.319
maize,MX18,20010117,0.548
maize,MX19,20010117,0.328
maize,MX20,20010117,0.482
maize,MX21,20010117,0.286
maize,MX22,20010117,0.315
maize,MX23,20010117,0.795
maize,MX24,20010117,0.388
maize,MX25,20010117,0.529
maize,MX26,20010117,0.411
maize,MX27,20010117,0.718
maize,MX28,20010117,0.428
maize,MX29,20010117,0.243
maize,MX30,20010117,0.563
maize,MX31,20010117,0.703
maize,MX32,20010117,0.233
maize,MX01,20010125,0.241
maize,MX02,20010125,0.382
maize,MX03,20010125,0.18
maize,MX04,20010125,0.668
maize,MX05,20010125,0.273
maize,MX06,20010125,0.495
maize,MX07,20010125,0.461
maize,MX08,20010125,0.21
maize,MX09,20010125,0.262
maize,MX10,20010125,0.248
maize,MX11,20010125,0.315
maize,MX12,20010125,0.354
maize,MX13,20010125,0.311
maize,MX14,20010125,0.31
maize,MX15,20010125,0.285
maize,MX16,20010125,0.359
maize,MX17,20010125,0.303
maize,MX18,20010125,0.537
maize,MX19,20010125,0.327
maize,MX20,20010125,0.433
maize,MX21,20010125,0.269
maize,MX22,20010125,0.311
maize,MX23,20010125,0.814
maize,MX24,20010125,0.378
maize,MX25,20010125,0.553
maize,MX26,20010125,0.458
maize,MX27,20010125,0.695
maize,MX28,20010125,0.441
maize,MX29,20010125,0.235
maize,MX30,20010125,0.558
maize,MX31,20010125,0.673
maize,MX32,20010125,0.239
maize,MX01,20010202,0.23
maize,MX02,20010202,0.418
maize,MX03,20010202,0.177
maize,MX04,20010202,0.689
maize,MX05,20010202,0.271
maize,MX06,20010202,0.473
maize,MX07,20010202,0.446
maize,MX08,20010202,0.202
maize,MX09,20010202,0.253
maize,MX10,20010202,0.24
maize,MX11,20010202,0.319
maize,MX12,20010202,0.345
maize,MX13,20010202,0.318
maize,MX14,20010202,0.29
maize,MX15,20010202,0.284
maize,MX16,20010202,0.348
maize,MX17,20010202,0.297
maize,MX18,20010202,0.499
maize,MX19,20010202,0.333
maize,MX20,20010202,0.488
maize,MX21,20010202,0.27
maize,MX22,20010202,0.323
maize,MX23,20010202,0.749
maize,MX24,20010202,0.368
maize,MX25,20010202,0.533
maize,MX26,20010202,0.472
maize,MX27,20010202,0.729
maize,MX28,20010202,0.402
maize,MX29,20010202,0.237
maize,MX30,20010202,0.544
maize,MX31,20010202,0.696
maize,MX32,20010202,0.22
maize,MX01,20010210,0.237
maize,MX02,20010210,0.447
maize,MX03,20010210,0.183
maize,MX04,20010210,0.662
maize,MX05,20010210,0.276
maize,MX06,20010210,0.445
maize,MX07,20010210,0.439
maize,MX08,20010210,0.205
maize,MX09,20010210,0.255
maize,MX10,20010210,0.238
maize,MX11,20010210,0.336
maize,MX12,20010210,0.334
maize,MX13,20010210,0.32
