adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd2,max_cum_gdd3,max_cum_gdd4,max_cum_gdd5,max_cum_gdd6,max_cum_gdd7,max_cum_gdd8,max_cum_gdd9,max_cum_prec1,max_cum_prec2,max_cum_prec3,max_cum_prec4,max_cum_prec5,max_cum_prec6,max_cum_prec7,max_cum_prec8,max_cum_prec9,mean_cum_cwb1,mean_cum_cwb2,mean_cum_cwb3,mean_cum_cwb4,mean_cum_cwb5,mean_cum_cwb6,mean_cum_cwb7,mean_cum_cwb8,mean_cum_cwb9,mean_prec1,mean_prec2,mean_prec3,mean_prec4,mean_prec5,mean_prec6,mean_prec7,mean_prec8,mean_prec9,mean_rad1,mean_rad2,mean_rad3,mean_rad4,mean_rad5,mean_rad6,mean_rad7,mean_rad8,mean_rad9,mean_tavg1,mean_tavg2,mean_tavg3,mean_tavg4,mean_tavg5,mean_tavg6,mean_tavg7,mean_tavg8,mean_tavg9,mean_tmax1,mean_tmax2,mean_tmax3,mean_tmax4,mean_tmax5,mean_tmax6,mean_tmax7,mean_tmax8,mean_tmax9,mean_tmin1,mean_tmin2,mean_tmin3,mean_tmin4,mean_tmin5,mean_tmin6,mean_tmin7,mean_tmin8,mean_tmin9,tmin<0.94p1,tmin<0.94p2,tmin<0.94p3,tmin<0.94p4,tmin<0.94p5,tmin<0.94p6,tmin<0.94p7,tmin<0.94p8,tmin<0.94p9,tmax>31.25p1,tmax>31.25p2,tmax>31.25p3,tmax>31.25p4,tmax>31.25p5,tmax>31.25p6,tmax>31.25p7,tmax>31.25p8,tmax>31.25p9,prec<1p1,prec<1p2,prec<1p3,prec<1p4,prec<1p5,prec<1p6,prec<1p7,prec<1p8,prec<1p9,mean_cum_fpar2,mean_cum_fpar3,mean_cum_fpar4,mean_cum_fpar5,mean_cum_fpar6,mean_cum_fpar7,mean_cum_fpar8,mean_cum_fpar9,mean_cum_ndvi2,mean_cum_ndvi3,mean_cum_ndvi4,mean_cum_ndvi5,mean_cum_ndvi6,mean_cum_ndvi7,mean_cum_ndvi8,mean_cum_ndvi9,mean_ssm1,mean_ssm2,mean_ssm3,mean_ssm4,mean_ssm5,mean_ssm6,mean_ssm7,mean_ssm8,mean_ssm9,yield
MX01,13.644,1.583,2014,0.0,204.083,714.391,1290.779,1894.849,2484.045,3048.615,3401.4649999999997,0.0,0.0,0.11,7.965,11.652,97.70400000000001,225.644,344.238,408.553,0.0,0.0,-31.387923076923077,-145.90174193548387,-323.3432666666667,-482.9208387096774,-551.9857666666667,-539.3639677419354,-599.5486842105263,0.0,0.0,0.008461538461538461,0.2533870967741935,0.1229,2.7758709677419358,4.264666666666667,3.825612903225806,3.385,0.0,0.0,22594532.0,25182299.29032258,26989540.266666666,25403429.419354837,24124182.366666667,24753661.80645161,24695417.684210528,0.0,0.0,16.638692307692306,17.401548387096774,20.152933333333333,20.426129032258064,20.579866666666664,19.151935483870968,19.511052631578945,0.0,0.0,24.960076923076922,25.576096774193548,28.0827,27.629258064516126,27.1203,25.569612903225806,26.27347368421053,0.0,0.0,8.30146153846154,9.368451612903227,11.709266666666668,13.564741935483871,15.006400000000001,14.110483870967743,14.070736842105262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,29.0,21.0,15.0,15.0,9.0,0.0,28.258,82.79733333333333,157.13166666666666,227.10333333333332,317.32933333333335,451.70533333333333,585.8495,0.0,0.45899999999999996,1.353,2.334,3.2872500000000002,4.65,6.6537500000000005,8.2895,0.0,0.0,4.107384615384616,3.8201612903225803,3.369866666666667,3.7013548387096775,4.433833333333334,4.9636774193548385,4.453947368421052,0.0,4.083
MX03,11.358,1.473,2014,0.0,0.0,517.2919999999999,1116.981,1822.039,2584.491,3451.531,4199.429999999999,0.0,0.0,0.0,0.083,0.094,0.381,2.037,39.125,78.356,0.0,0.0,0.0,-72.11140740740741,-240.28126666666668,-440.28477419354834,-662.0504333333333,-844.9303225806451,-1024.579153846154,0.0,0.0,0.0,0.003074074074074074,0.00036666666666666667,0.009258064516129033,0.055200000000000006,1.1963870967741936,1.5088846153846154,0.0,0.0,0.0,23701538.444444444,27036196.066666666,28809214.129032258,28381183.933333334,25762411.48387097,23732534.46153846,0.0,0.0,0.0,20.098962962962965,20.929633333333335,23.683806451612902,26.35506666666667,28.909032258064514,29.705346153846158,0.0,0.0,0.0,28.001074074074072,29.191633333333336,32.131419354838705,34.223499999999994,35.43545161290323,36.04842307692308,0.0,0.0,0.0,14.052222222222222,14.265266666666667,17.015548387096775,20.829133333333335,24.45222580645161,25.404807692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,21.0,29.0,31.0,26.0,0.0,0.0,0.0,27.0,30.0,31.0,30.0,24.0,12.0,0.0,0.0,43.672,107.97500000000001,176.18666666666664,241.30533333333332,311.578,393.42633333333333,0.0,0.0,0.65175,1.4943333333333335,2.23775,3.0305,3.93075,4.870333333333334,0.0,0.0,0.0,2.2656296296296294,1.8425666666666667,1.553193548387097,1.5047333333333335,2.9464838709677417,2.9719615384615383,0.0,6.832
MX04,14.258,1.413,2014,0.0,52.141,881.8599999999999,1722.587,2549.362,3357.096,4224.567,5072.723,5331.1759999999995,0.0,0.47000000000000003,11.604000000000001,39.352000000000004,154.463,275.388,328.185,410.164,481.866,0.0,-6.656499999999999,-96.21241935483872,-289.51146666666665,-400.6509032258065,-400.0855,-541.5823548387096,-660.569806451613,-678.1542999999999,0.0,0.23500000000000001,0.35916129032258065,0.9249333333333333,3.7132580645161286,4.030833333333333,1.7031290322580646,2.644483870967742,7.1701999999999995,0.0,17667153.0,20999078.580645163,23091209.6,21004819.225806452,19959436.85,22939765.80645161,22378610.16129032,18697877.85,0.0,27.0105,27.705129032258064,28.964233333333333,27.61016129032258,27.864466666666665,28.92293548387097,28.299870967741935,26.7853,0.0,33.2975,35.394,36.296033333333334,33.59106451612904,33.302366666666664,35.49770967741936,34.91577419354839,32.2568,0.0,21.947,21.479935483870968,22.8247,23.37493548387097,24.21783333333333,24.020548387096774,23.709258064516128,23.378300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,30.0,26.0,24.0,31.0,31.0,9.0,0.0,2.0,29.0,25.0,16.0,14.0,17.0,11.0,3.0,0.0,127.81633333333332,294.8403333333333,455.5973333333333,636.598,832.2256666666667,1042.0396666666668,1193.798,0.0,1.67,3.7296666666666667,5.93025,8.97025,11.945,15.0045,17.049,0.0,5.518000000000001,5.136967741935484,4.4562,5.623806451612903,5.795933333333333,4.962677419354838,5.4065161290322585,6.292199999999999,2.745
MX05,12.134,1.45,2014,0.0,278.931,786.2869999999999,1411.8529999999998,2105.116,2855.5229999999997,3625.181,4020.736,0.0,0.0,4.266,28.058,36.457,77.726,153.987,202.945,238.737,0.0,0.0,-38.44858823529412,-135.88125806451615,-302.8263666666666,-489.208935483871,-651.6579,-776.1265161290323,-890.8831875,0.0,0.0,0.2509411764705882,0.767483870967742,0.27996666666666664,1.331258064516129,2.5420333333333334,1.5792903225806452,2.237,0.0,0.0,19908340.88235294,21905290.903225806,25685886.933333334,25944481.903225806,25109803.5,24957970.258064516,23731185.625,0.0,0.0,17.34770588235294,17.306322580645162,21.792199999999998,23.303322580645162,25.953566666666667,25.76767741935484,25.662187499999998,0.0,0.0,25.503999999999998,24.611354838709676,29.136733333333332,30.424354838709675,32.34883333333333,31.607838709677416,31.5125,0.0,0.0,9.849529411764706,10.465774193548388,14.377966666666667,16.226064516129032,20.003833333333333,20.242548387096775,20.30975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,22.0,20.0,10.0,0.0,0.0,16.0,25.0,28.0,21.0,21.0,19.0,3.0,0.0,31.451,93.93966666666667,182.65,268.77,368.3543333333334,482.57199999999995,580.5735,0.0,0.43899999999999995,1.32825,2.39,3.4307499999999997,4.7955,6.38075,7.5344999999999995,0.0,0.0,3.0808235294117647,3.140677419354839,2.3310000000000004,2.725774193548387,3.1001333333333334,3.1390645161290327,3.11975,0.0,1.88
MX06,13.658,1.435,2014,0.0,265.54699999999997,963.983,1677.222,2426.504,3133.058,3861.1629999999996,4204.898,0.0,0.0,0.316,1.627,15.107,128.981,562.301,798.582,936.609,0.0,0.0,-30.07575,-140.4067419354839,-309.07783333333333,-433.76367741935485,-300.74983333333336,-36.10048387096773,16.253733333333344,0.0,0.0,0.026333333333333334,0.04229032258064516,0.44933333333333336,3.673354838709677,14.443999999999999,7.621967741935484,9.2018,0.0,0.0,22176551.666666668,24961597.225806452,25571137.866666667,22192475.677419353,19019057.766666666,21729462.741935484,21792675.466666665,0.0,0.0,23.068916666666667,23.470193548387098,24.71463333333333,25.110387096774193,24.4918,24.427258064516128,23.855666666666664,0.0,0.0,31.256416666666667,31.670774193548386,32.30416666666667,31.315483870967743,30.109133333333332,30.20174193548387,29.596466666666668,0.0,0.0,17.531833333333335,17.401709677419355,18.8229,20.428516129032257,21.002466666666667,20.738225806451613,20.3904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,29.0,20.0,8.0,4.0,0.0,0.0,0.0,12.0,31.0,25.0,12.0,0.0,0.0,1.0,0.0,42.493,119.71166666666666,221.29133333333334,322.421,466.66833333333335,661.369,833.6485,0.0,0.749,2.0812500000000003,3.457333333333333,4.838749999999999,7.1530000000000005,10.1725,12.4335,0.0,0.0,5.335833333333333,4.913741935483871,4.6191,5.1494193548387095,6.613666666666666,7.124774193548387,7.347666666666667,0.0,3.436
MX07,13.185,1.464,2014,0.0,356.37199999999996,1123.293,1882.619,2629.341,3336.9919999999997,4084.388,4204.54,0.0,0.0,4.261,18.884999999999998,50.564,276.827,587.161,676.282,688.853,0.0,0.0,-37.489000000000004,-142.31235483870967,-297.8693,-324.5178064516129,-129.59060000000002,-111.61754838709678,-161.5078,0.0,0.0,0.2840666666666667,0.471741935483871,1.0559666666666667,7.298806451612903,10.344466666666667,2.8748709677419355,2.5141999999999998,0.0,0.0,21056519.2,23148052.83870968,23935921.2,19824325.93548387,19616862.633333333,22615453.677419353,23221147.2,0.0,0.0,24.69813333333333,25.679387096774196,26.250866666666663,25.027806451612904,24.528366666666667,25.049548387096774,24.9704,0.0,0.0,31.7548,32.729290322580646,32.93343333333333,30.372645161290322,29.1861,30.045774193548386,30.385399999999997,0.0,0.0,19.109466666666666,19.92916129032258,20.938433333333332,21.478612903225805,21.4165,21.160709677419355,20.7786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,26.0,9.0,0.0,1.0,1.0,0.0,0.0,13.0,27.0,19.0,0.0,0.0,9.0,0.0,0.0,42.716,126.97933333333333,249.13566666666668,373.0743333333333,521.9683333333334,696.8966666666666,818.9639999999999,0.0,0.737,2.16925,3.7933333333333334,5.6315,8.26625,11.06725,12.794,0.0,0.0,5.825733333333333,5.305870967741935,4.852166666666666,5.965387096774193,6.9315,6.440612903225806,6.0152,0.0,2.142
MX08,12.3,1.457,2014,0.0,222.44,574.792,1011.714,1564.982,2260.584,2899.322,3137.3179999999998,0.0,0.0,0.732,12.225,14.139,17.323999999999998,37.561,112.781,220.333,0.0,0.0,-39.04210526315789,-137.68470967741936,-303.96853333333337,-503.4890322580645,-705.9047666666667,-845.402935483871,-854.3177692307692,0.0,0.0,0.038526315789473686,0.37074193548387097,0.0638,0.10274193548387096,0.6745666666666666,2.4264516129032256,8.273230769230768,0.0,0.0,19783547.57894737,22520133.032258064,26668764.633333333,29097038.0,27312749.733333334,24283780.774193548,20593701.076923076,0.0,0.0,12.647368421052633,12.306193548387098,15.504066666666667,18.78735483870968,24.126733333333334,21.544451612903227,19.247384615384615,0.0,0.0,21.283052631578947,19.84409677419355,23.314433333333334,26.703064516129032,31.503766666666667,28.10658064516129,24.609153846153845,0.0,0.0,4.463052631578948,5.187838709677419,7.6688,10.093322580645161,15.851166666666668,15.633580645161292,15.241923076923078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,19.0,28.0,29.0,30.0,20.0,9.0,0.0,0.0,24.4465,66.198,118.65000000000002,175.70366666666666,256.15133333333335,387.41533333333336,534.445,0.0,0.433,1.2075,2.0193333333333334,2.84375,3.976,5.6765,7.304,0.0,0.0,2.8552631578947367,2.9182580645161287,2.331166666666667,1.9837096774193548,2.1925666666666666,3.0815806451612904,4.400230769230769,0.0,3.439
MX09,14.612,1.478,2014,0.0,15.368,519.4209999999999,1036.338,1553.514,2037.377,2517.5969999999998,3002.1189999999997,3064.461,0.0,0.055,16.039,44.598,157.29,469.109,669.788,884.6370000000001,916.944,0.0,-4.641,-74.90290322580644,-210.01903333333334,-312.9534516129032,-227.15053333333336,-52.53703225806452,-4.6579677419354875,58.38074999999999,0.0,0.055,0.5156129032258064,0.9519666666666667,3.635225806451613,10.393966666666667,6.473516129032258,6.930612903225806,8.07675,0.0,23737344.0,24122498.322580647,24090925.533333335,22680322.612903226,20897875.4,22385470.548387095,22357733.93548387,17915321.25,0.0,16.308,17.199774193548386,18.170566666666666,17.62309677419355,17.068766666666665,16.430967741935483,16.569741935483872,16.5255,0.0,24.95,24.966032258064516,25.560833333333335,24.319870967741938,22.357033333333334,22.144645161290324,22.251161290322578,20.80375,0.0,7.751,9.464806451612903,10.837133333333332,11.647870967741936,12.823233333333333,12.048806451612903,12.119225806451613,13.51525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,19.0,13.0,5.0,1.0,6.0,0.0,0.0,39.14566666666667,98.973,165.61266666666666,265.022,411.4963333333333,574.6806666666666,678.824,0.0,0.7229999999999999,1.8156666666666668,2.97075,4.614333333333334,6.69725,8.773333333333333,0.0,0.0,6.788,6.463451612903225,6.059366666666667,6.264709677419355,7.1615,8.231548387096774,8.285451612903225,8.343250000000001,1.957
MX10,14.562,1.551,2014,0.0,204.854,663.88,1188.955,1782.5739999999998,2427.342,3018.0429999999997,3316.0769999999998,0.0,0.0,0.07200000000000001,5.819,7.182,17.441,88.681,214.462,292.921,0.0,0.0,-33.45814285714285,-142.38187096774192,-324.31356666666665,-512.5768387096774,-673.0432666666667,-707.589870967742,-736.686125,0.0,0.0,0.0051428571428571435,0.18538709677419354,0.04543333333333333,0.3309354838709678,2.3746666666666667,4.057451612903226,4.9036875,0.0,0.0,21897712.285714287,24396540.903225806,27287854.6,26476187.16129032,25192994.066666666,23646743.16129032,22665692.125,0.0,0.0,15.572428571428572,15.747290322580644,18.4425,20.089000000000002,22.432266666666667,19.994870967741935,19.567125,0.0,0.0,24.355999999999998,24.484161290322582,26.858666666666668,27.89835483870968,29.25336666666667,26.208838709677416,25.747125,0.0,0.0,7.1997857142857145,7.964483870967742,10.406866666666668,12.51958064516129,15.771833333333332,14.717225806451612,14.8069375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,14.0,29.0,30.0,29.0,21.0,10.0,1.0,0.0,19.379,59.604666666666674,121.84166666666668,184.86433333333332,255.60133333333332,358.862,478.33050000000003,0.0,0.3895,1.18375,2.1243333333333334,3.0555000000000003,4.157,5.6545000000000005,7.141,0.0,0.0,3.3097857142857143,3.181193548387097,2.7763666666666666,2.6684516129032256,3.2010666666666667,3.9443225806451614,4.1651875,0.0,3.567
MX11,14.064,1.574,2014,0.0,175.172,742.3879999999999,1344.0339999999999,1944.0569999999998,2524.4629999999997,3082.7529999999997,3551.81,0.0,0.0,0.22499999999999998,6.468,26.400000000000002,132.671,313.91,448.18,561.325,0.0,0.0,-24.5092,-127.31554838709678,-293.6576333333333,-417.53170967741937,-444.1215,-371.0313870967742,-401.8191923076923,0.0,0.0,0.0225,0.20138709677419356,0.6644000000000001,3.4280967741935484,6.041300000000001,4.331290322580646,4.351730769230769,0.0,0.0,22305121.4,24741782.451612905,26039023.4,23513090.451612905,22353315.966666665,23338048.83870968,23411008.46153846,0.0,0.0,18.4572,19.237290322580645,20.994866666666667,20.29558064516129,20.286866666666665,18.949354838709677,18.980653846153846,0.0,0.0,26.9167,27.892322580645164,29.457666666666668,27.896225806451614,27.0978,25.61858064516129,25.69073076923077,0.0,0.0,10.3171,10.787903225806453,12.730933333333333,13.89667741935484,15.099066666666666,14.28358064516129,14.093461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,29.0,23.0,17.0,11.0,6.0,4.0,0.0,39.491,119.904,225.97233333333335,310.9503333333333,419.66366666666664,588.0586666666667,794.5746666666668,0.0,0.409,1.41625,2.6839999999999997,3.8165,5.562250000000001,8.13925,10.556666666666667,0.0,0.0,5.6845,5.200096774193549,4.557,4.771516129032258,5.4653,6.295741935483871,6.468038461538462,0.0,4.792
