adm_id,awc,bulk_density,year,max_cum_gdd1,max_cum_gdd6,max_cum_gdd7,max_cum_gdd8,max_cum_gdd9,max_cum_gdd10,max_cum_gdd11,max_cum_gdd12,max_cum_prec1,max_cum_prec6,max_cum_prec7,max_cum_prec8,max_cum_prec9,max_cum_prec10,max_cum_prec11,max_cum_prec12,mean_cum_cwb1,mean_cum_cwb6,mean_cum_cwb7,mean_cum_cwb8,mean_cum_cwb9,mean_cum_cwb10,mean_cum_cwb11,mean_cum_cwb12,mean_prec1,mean_prec6,mean_prec7,mean_prec8,mean_prec9,mean_prec10,mean_prec11,mean_prec12,mean_rad1,mean_rad6,mean_rad7,mean_rad8,mean_rad9,mean_rad10,mean_rad11,mean_rad12,mean_tavg1,mean_tavg6,mean_tavg7,mean_tavg8,mean_tavg9,mean_tavg10,mean_tavg11,mean_tavg12,mean_tmax1,mean_tmax6,mean_tmax7,mean_tmax8,mean_tmax9,mean_tmax10,mean_tmax11,mean_tmax12,mean_tmin1,mean_tmin6,mean_tmin7,mean_tmin8,mean_tmin9,mean_tmin10,mean_tmin11,mean_tmin12,tmin<5p1,tmin<5p6,tmin<5p7,tmin<5p8,tmin<5p9,tmin<5p10,tmin<5p11,tmin<5p12,tmax>32p1,tmax>32p6,tmax>32p7,tmax>32p8,tmax>32p9,tmax>32p10,tmax>32p11,tmax>32p12,prec<0.5p1,prec<0.5p6,prec<0.5p7,prec<0.5p8,prec<0.5p9,prec<0.5p10,prec<0.5p11,prec<0.5p12,mean_cum_fpar1,mean_cum_fpar7,mean_cum_fpar8,mean_cum_fpar9,mean_cum_fpar10,mean_cum_fpar11,mean_cum_fpar12,mean_cum_ndvi1,mean_cum_ndvi7,mean_cum_ndvi8,mean_cum_ndvi9,mean_cum_ndvi10,mean_cum_ndvi11,mean_cum_ndvi12,mean_ssm1,mean_ssm6,mean_ssm7,mean_ssm8,mean_ssm9,mean_ssm10,mean_ssm11,mean_ssm12,yield
ZA-A1-0001,12.089,1.492,2004,0.0,0.0,3.259000000000002,4.065000000000001,11.481000000000003,60.242,160.905,263.34,0.0,0.0,22.063,96.157,123.353,161.434,173.234,201.999,0.0,-3.609333333333333,-21.356387096774192,-32.63016129032258,-60.229400000000005,-142.3451935483871,-265.79766666666666,-409.8246,0.0,0.0,0.7117096774193548,2.390129032258064,0.9065333333333332,1.2284193548387097,0.3933333333333333,1.1506,0.0,11546919.0,10604112.14516129,12641931.887096774,16836935.033333335,20905927.41935484,26322381.366666667,26415527.6,0.0,12.002,11.339967741935483,10.339290322580649,13.413633333333332,16.182548387096773,18.343200000000003,19.014,0.0,22.484,17.768,16.330870967741937,19.44453333333333,22.636354838709675,25.359166666666667,25.737800000000004,0.0,5.205,6.282612903225807,5.915741935483871,9.2362,11.575774193548389,13.385700000000002,14.349,0.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,22.0,19.0,15.0,20.0,22.0,12.0,0.0,138.02333333333334,343.731,540.0939999999999,708.6963333333333,839.6606666666667,945.708,0.0,1.59075,4.12975,6.606,8.5,10.00525,11.341333333333331,0.0,3.6953333333333336,3.823967741935484,4.154612903225806,3.9929666666666663,3.836935483870968,3.4879666666666664,3.37372,6.0
ZA-A1-0002,12.173,1.457,2004,429.397,0.0,0.0,3.214000000000002,23.833,98.309,188.464,310.022,495.47,0.0,0.0559999999999999,34.978,88.186,142.641,267.112,353.798,-331.53183333333334,0.0,-8.31,-37.03067741935484,-97.0044,-185.02293548387095,-246.92296666666667,-304.1407096774194,5.903,0.0,0.0139999999999999,1.126516129032258,1.7735999999999998,1.7566129032258064,4.149033333333334,2.7963225806451617,23024599.64583333,0.0,13907170.5,15304555.161290323,17618944.95,23212841.741935484,22591554.133333333,25861427.741935484,19.97395833333333,0.0,13.0365,10.167516129032258,13.288,16.539709677419356,17.600066666666667,18.82267741935484,26.0925,0.0,22.2215,17.518354838709676,20.40716666666667,24.410225806451614,24.3471,26.151903225806453,15.300666666666666,0.0,6.4405,4.744645161290323,7.9576,10.493967741935483,12.198133333333336,13.021354838709676,0.0,0.0,1.0,20.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,4.0,18.0,14.0,15.0,6.0,8.0,605.625,0.0,63.67666666666667,156.02533333333335,254.56266666666667,363.302,478.19433333333336,8.64,0.355,1.23375,2.632,3.9506666666666663,5.3835,7.06625,4.7251666666666665,0.0,4.1415,4.420193548387097,4.489833333333333,4.151709677419355,4.409433333333334,4.365870967741936,4.0
ZA-A1-0003,11.357,1.479,2004,999.599,0.0,0.3510000000000008,12.696,91.624,296.776,553.612,872.748,200.19,0.0,0.122,7.314,25.643,46.702,111.622,139.652,-868.6451666666667,0.0,-26.88475,-104.51816129032258,-231.06696666666667,-394.2591290322581,-558.0043666666667,-743.3757096774194,5.044833333333333,0.0,0.007625,0.232,0.6109666666666667,0.6793225806451614,2.164,0.9041935483870968,25545611.666666668,0.0,14969763.75,17253627.80645161,20793709.53333333,24607398.322580647,26472948.466666665,30116698.19354839,25.570916666666665,0.0,12.24625,11.31258064516129,17.14946666666667,21.57158064516129,23.5612,25.294709677419355,33.16683333333334,0.0,22.51225,19.91245161290323,25.425400000000003,29.808225806451613,31.3581,33.374709677419354,19.540666666666667,0.0,5.094375,5.029129032258064,10.6174,14.787774193548389,17.092066666666668,18.051483870967743,0.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,14.0,11.0,24.0,4.0,0.0,16.0,27.0,25.0,24.0,18.0,22.0,683.6915,27.41,95.15366666666668,226.07,373.79733333333337,499.01,595.0973333333333,7.32,0.4059999999999999,1.32625,2.781,4.115666666666667,5.2495,6.40325,2.6491666666666664,0.0,2.2498125,2.422483870967742,2.196533333333333,1.7100967741935482,2.333766666666667,1.7539354838709678,10.065
ZA-A1-0004,10.879,1.535,2004,738.173,0.0,0.0,3.506999999999998,60.999,215.975,366.973,593.995,370.327,0.0,0.0,11.399,22.519,53.613,175.756,254.372,-610.1346666666667,0.0,-3.098,-47.937612903225805,-177.05973333333336,-334.0975483870968,-424.3209,-541.4551612903226,4.831458333333333,0.0,0.0,0.3677096774193548,0.3706666666666666,1.003032258064516,4.071433333333333,2.536,23915169.0,0.0,15364765.0,17828247.19354839,20785750.73333333,23939358.70967742,24875440.73333333,28123653.096774194,21.007416666666668,0.0,12.438,10.200032258064518,16.2068,19.45629032258065,20.03326666666667,22.323290322580647,27.96225,0.0,22.133,18.54722580645161,24.23936666666667,27.417580645161287,27.701733333333333,30.434387096774195,16.248833333333334,0.0,5.392,4.393354838709678,9.8553,12.774225806451613,14.313966666666666,15.560387096774194,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,4.0,0.0,1.0,26.0,23.0,17.0,9.0,16.0,379.025,0.0,36.56633333333333,89.65566666666666,143.833,205.53733333333332,282.82266666666663,5.5683333333333325,0.0,0.5645,1.45075,2.247666666666667,3.1125,4.33925,4.203041666666667,0.0,2.892,3.391161290322581,3.047333333333333,2.718870967741936,4.009266666666666,2.970548387096774,3.106
ZA-A1-0005,11.833,1.422,2004,583.537,0.0,0.0,7.850000000000001,59.353,175.861,285.27,435.134,574.819,0.0,0.0,21.303,72.526,115.461,283.88800000000003,404.08,-258.28255172413793,0.0,0.0,-34.93245161290322,-114.01103333333334,-201.57632258064515,-234.6569333333333,-247.4559677419355,5.887551724137931,0.0,0.0,0.6871935483870968,1.7074333333333334,1.385,5.614233333333334,3.8771612903225807,21613986.172413792,0.0,0.0,16436211.983870968,17059536.883333333,21679792.25806452,20634010.23333333,24547843.90322581,20.11734482758621,0.0,0.0,11.919064516129032,15.2826,17.886451612903226,18.491533333333333,19.82167741935484,26.361448275862067,0.0,0.0,19.83758064516129,22.644,25.71406451612903,25.267233333333333,27.37603225806452,15.780379310344829,0.0,0.0,6.152225806451613,9.689766666666666,11.795709677419357,13.4956,14.234903225806452,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,22.0,10.0,9.0,4.0,6.0,589.721,0.0,57.132666666666665,136.631,215.4273333333333,309.31766666666664,433.5843333333334,8.833,0.0,0.8145,2.08225,3.283,4.65775,6.5895,5.663724137931034,0.0,0.0,4.950129032258065,5.0732,4.615225806451613,5.375066666666667,5.367645161290322,4.902
ZA-A1-0006,11.462,1.491,2004,883.144,0.0,0.0,7.895,97.971,291.089,468.514,719.451,311.392,0.0,0.0,4.416,9.315,62.784,165.035,219.941,-720.30992,0.0,-5.922,-64.98722580645162,-214.7184333333333,-380.3200967741936,-487.0778666666666,-615.7319354838709,3.65804,0.0,0.0,0.1424516129032258,0.1633,1.7248064516129034,3.4083666666666668,1.7711612903225806,24128301.36,0.0,16602249.0,18531121.70967742,21825825.366666667,23810472.822580647,24923912.9,28345701.967741936,21.54772,0.0,13.572500000000002,11.475935483870968,17.7167,20.724,20.914166666666667,23.09474193548387,27.90908,0.0,22.925,19.80867741935484,25.535866666666667,28.05990322580645,27.98783333333333,30.55793548387097,17.00028,0.0,7.464,5.63958064516129,11.616666666666667,14.717548387096771,15.649399999999998,16.7471935483871,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,11.0,6.0,0.0,2.0,28.0,29.0,19.0,9.0,18.0,355.876,0.0,35.429,85.45966666666668,135.04,191.98533333333333,263.422,5.64275,0.0,0.5475,1.409,2.16,3.0195,4.207,3.29648,0.0,2.0725,2.3433225806451614,2.085366666666667,2.356967741935484,3.2971666666666666,2.477451612903226,2.697
ZA-A1-0007,10.142,1.543,2004,728.5409999999999,0.0,0.0,3.942999999999998,72.916,238.265,378.468,595.299,407.853,0.0,0.0,6.82,15.492,78.252,197.527,269.965,-578.4848076923076,0.0,-3.228,-56.3693870967742,-196.7912333333333,-348.3882580645161,-420.8004,-527.8868064516129,5.303384615384616,0.0,0.0,0.22,0.2890666666666667,2.024516129032258,3.9758333333333336,2.3367096774193548,23217548.46153846,0.0,16931590.0,18438118.677419357,21641898.933333334,23437311.93548387,24439863.866666667,27382505.677419357,20.124692307692307,0.0,12.559,11.201806451612905,16.87623333333333,19.58683870967742,19.67343333333333,21.99454838709677,26.23130769230769,0.0,22.177,19.523451612903227,24.9531,27.03890322580645,26.675766666666668,29.36416129032258,15.68723076923077,0.0,6.004,5.267129032258064,10.452566666666666,13.51083870967742,14.3912,16.01390322580645,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,1.0,27.0,25.0,19.0,8.0,14.0,399.82666666666665,0.0,32.071333333333335,78.48466666666667,126.18766666666666,188.02966666666663,277.55266666666665,6.41425,0.0,0.57475,1.46,2.2496666666666667,3.224,4.6685,4.059115384615384,0.0,3.162,3.288838709677419,2.8117333333333336,3.047774193548387,3.8891,3.2032580645161293,3.712
ZA-A1-0008,11.381,1.507,2004,565.4209999999999,0.0,0.0,1.9510000000000003,49.51,175.47199999999998,277.295,446.735,473.986,0.0,0.0,8.798,31.197,90.511,222.391,315.983,-431.3420357142857,0.0,0.0,-45.00158620689656,-163.94993333333332,-294.6645161290323,-348.9424333333333,-413.9533548387097,5.642964285714286,0.0,0.0,0.3033793103448275,0.7466333333333334,1.9133548387096773,4.396,3.019096774193548,23146419.464285716,0.0,0.0,18398527.0,20573436.8,22776919.54838709,22918161.53333333,26441551.35483871,19.238785714285715,0.0,0.0,10.855413793103448,15.5618,18.16625806451613,18.367466666666665,20.465806451612902,25.50332142857143,0.0,0.0,19.27648275862069,23.7453,25.974096774193548,25.361633333333334,28.004,15.071607142857143,0.0,0.0,4.728931034482759,9.383866666666668,12.04358064516129,13.3725,14.833451612903223,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,25.0,21.0,16.0,8.0,10.0,457.1603333333333,0.0,25.218,66.14533333333333,117.35200000000002,189.7396666666667,302.776,7.3775,0.0,0.5895,1.52525,2.3746666666666667,3.47275,5.199,5.4165,0.0,0.0,4.095137931034483,3.6090333333333335,3.6834193548387097,4.9906,4.157709677419355,4.027
ZA-A1-0009,12.851,1.516,2004,1253.886,0.0,0.0380000000000002,40.64899999999999,195.568,447.495,702.996,1014.982,283.056,0.0,0.037,0.496,9.814,67.239,121.634,186.836,-733.1655555555556,0.0,-4.753,-68.08958064516129,-208.07766666666663,-363.2117741935484,-490.40976666666666,-634.1296129032258,3.563703703703704,0.0,0.0185,0.0148064516129032,0.3106,1.8524193548387096,1.8131666666666668,2.103290322580645,23415146.444444444,0.0,17112172.5,18832858.387096774,21690674.73333333,23226449.580645163,23808343.33333333,25504440.54838709,23.848296296296297,0.0,14.9395,15.624903225806452,20.15333333333333,22.87125806451613,23.5167,25.064064516129037,29.78751851851852,0.0,23.4605,23.716870967741933,27.8595,30.09248387096774,30.3583,32.073193548387096,19.434962962962963,0.0,8.9795,9.179903225806452,13.558233333333334,16.73441935483871,18.266366666666663,19.540612903225806,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,15.0,9.0,19.0,9.0,0.0,2.0,31.0,24.0,21.0,15.0,11.0,444.0656666666667,0.0,44.97366666666667,110.27766666666666,173.492,244.20833333333331,333.65000000000003,6.53825,0.0,0.64775,1.6525,2.522333333333333,3.5015,4.890000000000001,3.763888888888889,0.0,2.894,2.687193548387097,2.4635666666666665,2.8763548387096773,3.1827666666666667,2.974741935483871,2.879
ZA-A1-0002,12.173,1.457,2005,480.797,0.0,0.0,6.122000000000003,28.806000000000004,91.963,224.40500000000003,374.049,667.549,0.0,2.501,30.502,142.536,208.789,313.984,498.755,-132.29952,0.0,-3.8866666666666663,-42.54477419354839,-83.7103,-105.6414193548387,-174.89373333333333,-175.79222580645165,6.751760000000001,0.0,0.8336666666666667,0.9032580645161292,3.734466666666667,2.137193548387097,3.5065,5.960354838709677,21725456.28,0.0,14569729.0,14736876.258064516,18303744.525,20978344.83870968,23490560.766666666,23487028.19354839,19.25876,0.0,7.388666666666666,12.354032258064516,12.576266666666667,16.05916129032258,19.315066666666667,19.818548387096776,25.255,0.0,14.841333333333331,19.65351612903226,19.725266666666663,22.962,26.275266666666667,26.274967741935484,15.04168,0.0,2.343,6.675741935483871,7.114766666666667,10.434709677419354,13.9778,14.879548387096774,0.0,0.0,3.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,20.0,20.0,10.0,5.0,3.0,714.8146666666667,0.0,65.01966666666667,165.01733333333334,279.33566666666667,411.036,555.0746666666666,9.86025,0.0,0.8919999999999999,2.37425,4.0785,5.758666666666667,7.6015,4.95,0.0,4.629666666666667,4.422064516129033,4.5738666666666665,4.569,4.309866666666666,4.545709677419355,4.75
