crop_name,adm_id,date,ndvi
maize,ZA-A1-0001,20010101,0.358
maize,ZA-A1-0002,20010101,0.531
maize,ZA-A1-0003,20010101,0.326
maize,ZA-A1-0004,20010101,0.418
maize,ZA-A1-0005,20010101,0.618
maize,ZA-A1-0006,20010101,0.377
maize,ZA-A1-0007,20010101,0.514
maize,ZA-A1-0008,20010101,0.592
maize,ZA-A1-0009,20010101,0.462
maize,ZA-A1-0001,20010109,0.37
maize,ZA-A1-0002,20010109,0.543
maize,ZA-A1-0003,20010109,0.321
maize,ZA-A1-0004,20010109,0.407
maize,ZA-A1-0005,20010109,0.631
maize,ZA-A1-0006,20010109,0.371
maize,ZA-A1-0007,20010109,0.507
maize,ZA-A1-0008,20010109,0.583
maize,ZA-A1-0009,20010109,0.44
maize,ZA-A1-0001,20010117,0.359
maize,ZA-A1-0002,20010117,0.552
maize,ZA-A1-0003,20010117,0.339
maize,ZA-A1-0004,20010117,0.423
maize,ZA-A1-0005,20010117,0.656
maize,ZA-A1-0006,20010117,0.416
maize,ZA-A1-0007,20010117,0.532
maize,ZA-A1-0008,20010117,0.594
maize,ZA-A1-0009,20010117,0.461
maize,ZA-A1-0001,20010125,0.358
maize,ZA-A1-0002,20010125,0.577
maize,ZA-A1-0003,20010125,0.38
maize,ZA-A1-0004,20010125,0.43
maize,ZA-A1-0005,20010125,0.678
maize,ZA-A1-0006,20010125,0.422
maize,ZA-A1-0007,20010125,0.522
maize,ZA-A1-0008,20010125,0.551
maize,ZA-A1-0009,20010125,0.418
maize,ZA-A1-0001,20010202,0.362
maize,ZA-A1-0002,20010202,0.547
maize,ZA-A1-0003,20010202,0.39
maize,ZA-A1-0004,20010202,0.432
maize,ZA-A1-0005,20010202,0.616
maize,ZA-A1-0006,20010202,0.43
maize,ZA-A1-0007,20010202,0.518
maize,ZA-A1-0008,20010202,0.562
maize,ZA-A1-0009,20010202,0.452
maize,ZA-A1-0001,20010210,0.351
maize,ZA-A1-0002,20010210,0.554
maize,ZA-A1-0003,20010210,0.419
maize,ZA-A1-0004,20010210,0.465
maize,ZA-A1-0005,20010210,0.653
maize,ZA-A1-0006,20010210,0.474
maize,ZA-A1-0007,20010210,0.541
maize,ZA-A1-0008,20010210,0.589
maize,ZA-A1-0009,20010210,0.447
maize,ZA-A1-0001,20010218,0.366
maize,ZA-A1-0002,20010218,0.561
maize,ZA-A1-0003,20010218,0.426
maize,ZA-A1-0004,20010218,0.454
maize,ZA-A1-0005,20010218,0.659
maize,ZA-A1-0006,20010218,0.479
maize,ZA-A1-0007,20010218,0.532
maize,ZA-A1-0008,20010218,0.57
maize,ZA-A1-0009,20010218,0.477
maize,ZA-A1-0001,20010226,0.362
maize,ZA-A1-0002,20010226,0.546
maize,ZA-A1-0003,20010226,0.433
maize,ZA-A1-0004,20010226,0.463
maize,ZA-A1-0005,20010226,0.665
maize,ZA-A1-0006,20010226,0.51
maize,ZA-A1-0007,20010226,0.557
maize,ZA-A1-0008,20010226,0.571
maize,ZA-A1-0009,20010226,0.525
maize,ZA-A1-0001,20010306,0.356
maize,ZA-A1-0002,20010306,0.545
maize,ZA-A1-0003,20010306,0.417
maize,ZA-A1-0004,20010306,0.442
maize,ZA-A1-0005,20010306,0.656
maize,ZA-A1-0006,20010306,0.485
maize,ZA-A1-0007,20010306,0.536
maize,ZA-A1-0008,20010306,0.541
maize,ZA-A1-0009,20010306,0.544
maize,ZA-A1-0001,20010314,0.358
maize,ZA-A1-0002,20010314,0.55
maize,ZA-A1-0003,20010314,0.421
maize,ZA-A1-0004,20010314,0.417
maize,ZA-A1-0005,20010314,0.659
