crop_name,adm_id,date,ssm,rsm
maize,CN061,20030201,3.917,197.726
maize,CN031,20030201,7.452,371.81
maize,CN050,20030201,7.179,355.404
maize,CN033,20030201,7.998,402.936
maize,CN036,20030201,8.236,420.999
maize,CN053,20030201,7.114,354.753
maize,CN037,20030201,4.388,222.685
maize,CN021,20030201,4.754,239.099
maize,CN054,20030201,6.247,304.005
maize,CN062,20030201,2.943,175.26
maize,CN081,20030201,7.123,352.172
maize,CN063,20030201,3.879,204.64
maize,CN011,20030201,3.597,192.817
maize,CN015,20030201,3.839,197.314
maize,CN042,20030201,6.985,344.197
maize,CN034,20030201,6.505,323.922
maize,CN052,20030201,7.607,378.75
maize,CN064,20030201,2.931,190.2
maize,CN032,20030201,5.795,287.983
maize,CN065,20030201,3.607,181.667
maize,CN014,20030201,4.321,218.393
maize,CN043,20030201,8.108,412.004
maize,CN051,20030201,6.505,319.862
maize,CN045,20030201,7.283,358.878
maize,CN022,20030201,5.2,258.045
maize,CN071,20030201,6.5,318.781
maize,CN013,20030201,3.831,201.465
maize,CN012,20030201,3.847,210.143
maize,CN044,20030201,6.835,340.362
maize,CN035,20030201,8.391,425.651
maize,CN023,20030201,5.32,263.414
maize,CN041,20030201,4.474,221.281
maize,CN046,20030201,6.346,318.1
maize,CN061,20030202,3.934,197.525
maize,CN031,20030202,7.402,368.538
maize,CN050,20030202,7.176,354.945
maize,CN033,20030202,7.914,399.651
maize,CN036,20030202,8.178,418.401
maize,CN053,20030202,7.101,354.584
maize,CN037,20030202,4.371,222.161
maize,CN021,20030202,4.757,238.962
maize,CN054,20030202,6.242,304.178
maize,CN062,20030202,2.924,175.225
maize,CN081,20030202,7.112,351.404
maize,CN063,20030202,3.918,204.627
maize,CN011,20030202,3.578,192.725
maize,CN015,20030202,3.836,197.227
maize,CN042,20030202,6.955,342.632
maize,CN034,20030202,6.461,321.87
maize,CN052,20030202,7.602,379.061
maize,CN064,20030202,2.921,190.159
maize,CN032,20030202,5.76,286.307
maize,CN065,20030202,3.62,181.658
maize,CN014,20030202,4.308,218.078
maize,CN043,20030202,8.076,410.36
maize,CN051,20030202,6.519,320.192
maize,CN045,20030202,7.243,358.039
maize,CN022,20030202,5.203,257.902
maize,CN071,20030202,6.464,318.778
maize,CN013,20030202,3.823,201.314
maize,CN012,20030202,3.812,209.991
maize,CN044,20030202,6.789,339.376
maize,CN035,20030202,8.316,424.551
maize,CN023,20030202,5.32,263.292
maize,CN041,20030202,4.454,220.191
maize,CN046,20030202,6.39,318.029
maize,CN061,20030203,3.887,197.151
maize,CN031,20030203,7.368,366.759
maize,CN050,20030203,7.198,355.092
maize,CN033,20030203,7.882,397.893
maize,CN036,20030203,8.152,416.859
maize,CN053,20030203,7.138,354.737
maize,CN037,20030203,4.393,221.853
maize,CN021,20030203,4.756,238.872
maize,CN054,20030203,6.237,304.042
maize,CN062,20030203,2.893,175.105
maize,CN081,20030203,7.098,350.791
maize,CN063,20030203,3.934,204.657
maize,CN011,20030203,3.595,192.706
maize,CN015,20030203,3.833,197.165
maize,CN042,20030203,6.934,341.505
maize,CN034,20030203,6.435,320.353
maize,CN052,20030203,7.613,379.48
maize,CN064,20030203,2.891,190.074
maize,CN032,20030203,5.757,285.176
maize,CN065,20030203,3.66,181.859
maize,CN014,20030203,4.295,217.763
maize,CN043,20030203,8.059,409.368
maize,CN051,20030203,6.472,319.992
maize,CN045,20030203,7.215,357.533
maize,CN022,20030203,5.201,257.794
maize,CN071,20030203,6.615,319.445
maize,CN013,20030203,3.85,201.241
maize,CN012,20030203,3.838,209.937
maize,CN044,20030203,6.81,339.245
maize,CN035,20030203,8.295,423.893
maize,CN023,20030203,5.319,263.198
maize,CN041,20030203,4.416,219.216
maize,CN046,20030203,6.601,319.895
maize,CN061,20030204,3.878,196.72
maize,CN031,20030204,7.36,365.711
maize,CN050,20030204,7.16,354.609
maize,CN033,20030204,7.855,396.536
maize,CN036,20030204,8.126,415.564
maize,CN053,20030204,7.156,354.995
maize,CN037,20030204,4.356,221.502
maize,CN021,20030204,4.748,238.747
maize,CN054,20030204,6.235,303.89
maize,CN062,20030204,2.867,174.971
maize,CN081,20030204,7.076,350.082
maize,CN063,20030204,3.934,204.656
maize,CN011,20030204,3.56,192.607
maize,CN015,20030204,3.828,197.103
maize,CN042,20030204,6.906,340.491
maize,CN034,20030204,6.397,319.146
maize,CN052,20030204,7.593,379.377
maize,CN064,20030204,2.866,189.988
maize,CN032,20030204,5.714,284.295
maize,CN065,20030204,3.682,182.212
maize,CN014,20030204,4.287,217.438
maize,CN043,20030204,8.036,408.352
maize,CN051,20030204,6.443,319.321
maize,CN045,20030204,7.175,356.206
maize,CN022,20030204,5.197,257.681
maize,CN071,20030204,6.6,321.574
maize,CN013,20030204,3.823,201.099
maize,CN012,20030204,3.757,209.77
maize,CN044,20030204,6.777,338.694
maize,CN035,20030204,8.25,423.033
maize,CN023,20030204,5.317,263.112
maize,CN041,20030204,4.37,218.261
maize,CN046,20030204,6.48,321.423
maize,CN061,20030205,3.871,196.336
maize,CN031,20030205,7.347,364.903
maize,CN050,20030205,7.142,353.952
maize,CN033,20030205,7.842,395.384
maize,CN036,20030205,8.105,414.251
maize,CN053,20030205,7.185,355.35
maize,CN037,20030205,4.337,221.036
maize,CN021,20030205,4.749,238.633
maize,CN054,20030205,6.26,304.263
maize,CN062,20030205,2.853,174.872
maize,CN081,20030205,7.05,349.016
maize,CN063,20030205,3.944,204.709
maize,CN011,20030205,3.554,192.516
maize,CN015,20030205,3.821,197.04
maize,CN042,20030205,6.89,339.581
maize,CN034,20030205,6.378,318.092
