crop_name,adm_id,date,fpar
maize,PT11,20010101,54.192
maize,PT15,20010101,53.865
maize,PT16,20010101,42.145
maize,PT17,20010101,43.522
maize,PT18,20010101,36.052
maize,PT20,20010101,74.762
maize,PT30,20010101,72.214
maize,PT11,20010111,55.937
maize,PT15,20010111,56.77
maize,PT16,20010111,43.074
maize,PT17,20010111,45.578
maize,PT18,20010111,37.947
maize,PT20,20010111,74.084
maize,PT30,20010111,72.286
maize,PT11,20010121,57.623
maize,PT15,20010121,59.068
maize,PT16,20010121,44.099
maize,PT17,20010121,47.379
maize,PT18,20010121,39.856
maize,PT20,20010121,73.503
maize,PT30,20010121,73.0
maize,PT11,20010201,59.199
maize,PT15,20010201,60.905
maize,PT16,20010201,45.294
maize,PT17,20010201,48.933
maize,PT18,20010201,41.958
maize,PT20,20010201,73.415
maize,PT30,20010201,73.429
maize,PT11,20010211,60.194
maize,PT15,20010211,61.73
maize,PT16,20010211,46.263
maize,PT17,20010211,49.846
maize,PT18,20010211,43.601
maize,PT20,20010211,73.785
maize,PT30,20010211,72.929
maize,PT11,20010221,60.505
maize,PT15,20010221,62.081
maize,PT16,20010221,46.848
maize,PT17,20010221,50.178
maize,PT18,20010221,44.849
maize,PT20,20010221,74.835
maize,PT30,20010221,72.929
maize,PT11,20010301,60.403
maize,PT15,20010301,62.014
maize,PT16,20010301,47.068
maize,PT17,20010301,50.093
maize,PT18,20010301,45.479
maize,PT20,20010301,75.187
maize,PT30,20010301,72.643
maize,PT11,20010311,60.205
maize,PT15,20010311,61.568
maize,PT16,20010311,47.299
maize,PT17,20010311,49.914
maize,PT18,20010311,46.042
maize,PT20,20010311,76.354
maize,PT30,20010311,72.643
maize,PT11,20010321,59.928
maize,PT15,20010321,60.757
maize,PT16,20010321,47.433
maize,PT17,20010321,49.395
maize,PT18,20010321,45.955
maize,PT20,20010321,77.074
maize,PT30,20010321,72.5
maize,PT11,20010401,59.699
maize,PT15,20010401,59.068
maize,PT16,20010401,47.376
maize,PT17,20010401,48.129
maize,PT18,20010401,45.207
maize,PT20,20010401,77.531
maize,PT30,20010401,72.571
maize,PT11,20010411,58.739
maize,PT15,20010411,56.405
maize,PT16,20010411,46.602
maize,PT17,20010411,46.177
maize,PT18,20010411,43.559
maize,PT20,20010411,77.553
maize,PT30,20010411,72.643
maize,PT11,20010421,57.214
maize,PT15,20010421,53.135
maize,PT16,20010421,45.34
maize,PT17,20010421,43.865
maize,PT18,20010421,41.296
maize,PT20,20010421,76.78
maize,PT30,20010421,73.071
maize,PT11,20010501,55.559
maize,PT15,20010501,49.716
maize,PT16,20010501,44.155
maize,PT17,20010501,41.444
maize,PT18,20010501,39.082
maize,PT20,20010501,75.376
maize,PT30,20010501,73.286
maize,PT11,20010511,54.019
maize,PT15,20010511,46.473
maize,PT16,20010511,43.39
maize,PT17,20010511,39.364
maize,PT18,20010511,37.348
maize,PT20,20010511,73.966
maize,PT30,20010511,73.786
maize,PT11,20010521,53.348
maize,PT15,20010521,43.324
maize,PT16,20010521,43.667
maize,PT17,20010521,38.092
maize,PT18,20010521,36.714
maize,PT20,20010521,72.298
maize,PT30,20010521,74.286
maize,PT11,20010601,53.522
maize,PT15,20010601,40.757
maize,PT16,20010601,44.941
maize,PT17,20010601,37.59
maize,PT18,20010601,37.14
maize,PT20,20010601,70.777
maize,PT30,20010601,75.214
maize,PT11,20010611,54.93
maize,PT15,20010611,39.351
maize,PT16,20010611,47.349
maize,PT17,20010611,38.249
maize,PT18,20010611,38.846
maize,PT20,20010611,70.402
maize,PT30,20010611,75.714
maize,PT11,20010621,57.235
maize,PT15,20010621,38.338
maize,PT16,20010621,50.686
maize,PT17,20010621,39.816
maize,PT18,20010621,41.445
maize,PT20,20010621,70.04
maize,PT30,20010621,75.429
maize,PT11,20010701,60.469
maize,PT15,20010701,38.014
maize,PT16,20010701,54.704
maize,PT17,20010701,41.95
maize,PT18,20010701,44.401
maize,PT20,20010701,69.712
maize,PT30,20010701,75.0
maize,PT11,20010711,63.644
maize,PT15,20010711,38.108
maize,PT16,20010711,58.471
maize,PT17,20010711,44.201
maize,PT18,20010711,47.124
maize,PT20,20010711,69.785
maize,PT30,20010711,75.5
maize,PT11,20010721,66.203
maize,PT15,20010721,38.419
maize,PT16,20010721,61.413
maize,PT17,20010721,46.094
maize,PT18,20010721,48.997
maize,PT20,20010721,70.696
maize,PT30,20010721,74.071
maize,PT11,20010801,67.474
maize,PT15,20010801,38.378
maize,PT16,20010801,63.011
maize,PT17,20010801,47.143
maize,PT18,20010801,49.501
maize,PT20,20010801,70.694
maize,PT30,20010801,73.786
maize,PT11,20010811,67.139
maize,PT15,20010811,38.351
maize,PT16,20010811,62.912
maize,PT17,20010811,46.996
maize,PT18,20010811,48.717
maize,PT20,20010811,71.081
maize,PT30,20010811,73.429
maize,PT11,20010821,65.814
maize,PT15,20010821,38.162
maize,PT16,20010821,61.49
maize,PT17,20010821,46.083
maize,PT18,20010821,46.857
