adm_id,year,yield,stage2_tabpfn_base_prediction,stage2_tabpfn_base_prediction_variance,stage2_tabpfn_base_prediction_std,stage2_tabpfn_base_n_repeats,stage2_tabpfn_base_split,stage2_tabpfn_cn_finetuned_prediction,stage2_tabpfn_cn_finetuned_prediction_variance,stage2_tabpfn_cn_finetuned_prediction_std,stage2_tabpfn_cn_finetuned_n_repeats,stage2_tabpfn_cn_finetuned_split
MX01,2022,2.4944465372804148,3.96122852,0.024718018664957053,0.15721965101397806,5,test,4.006384779999999,0.01933140332651201,0.1390374170017266,5,test
MX02,2022,11.17360029398625,9.1301944,0.07107702458579994,0.2666027467709212,5,test,9.3267488,0.04661876089232474,0.21591378115424856,5,test
MX03,2022,8.355411687898089,7.09469684,0.005516155820202973,0.07427082751796275,5,test,7.0807945000000005,0.005005199223135041,0.07074743262575003,5,test
MX04,2022,2.561804428429205,2.34349196,0.011777084844663024,0.10852227810299148,5,test,2.4565148999999997,0.008815034101314992,0.09388841303012312,5,test
MX05,2022,1.774372034882588,2.5940516000000002,0.031015091031395027,0.1761110190516057,5,test,2.6450006000000004,0.04748382088475503,0.21790782657985241,5,test
MX06,2022,4.111521515812163,4.15591004,0.00788254192043305,0.08878368048483376,5,test,4.20097788,0.0068122258087770626,0.08253620907684737,5,test
MX07,2022,1.9771894540975097,2.75832724,0.0003188109680230051,0.017855278435885705,5,test,2.8383609,0.00012840861475000082,0.011331752501268319,5,test
MX08,2022,8.143366518864758,8.1573956,0.03473682170529997,0.18637816853188566,5,test,8.3190626,0.037445483022299886,0.19350835388246132,5,test
MX09,2022,1.8955312658258368,2.6494652800000003,0.0003365393803120033,0.018345009684162156,5,test,2.61376034,0.0007895479479479902,0.02809889584926764,5,test
MX10,2022,2.889629427069841,5.26715954,0.038017286854902854,0.1949802217018507,5,test,5.34866126,0.03706208173643797,0.19251514677146309,5,test
MX11,2022,5.616469068934186,6.1438403,0.06953519787744503,0.26369527465892334,5,test,5.87880632,0.04363760005748184,0.20889614658361183,5,test
MX12,2022,2.440835743932152,2.2518262800000004,0.0009672214910870048,0.031100184743615346,5,test,2.3201671,0.0010675292082499971,0.03267306548596255,5,test
MX13,2022,3.4991945039496897,3.4004986799999997,0.002351443161872006,0.04849168136775633,5,test,3.3710437200000003,0.001732932793092004,0.041628509378693876,5,test
MX14,2022,7.239267643185523,7.734992440000001,0.006067129432282978,0.07789178026135349,5,test,7.80253628,0.004194049774642013,0.06476148372792283,5,test
MX15,2022,2.40311663092678,2.74993594,0.0006249037372029965,0.024998074669922012,5,test,2.70473992,0.0005441507798470127,0.023327039671741732,5,test
MX16,2022,4.596400200237511,6.04351982,0.04832778156087192,0.2198358059117575,5,test,5.7896199,0.03717709684280003,0.19281363240912203,5,test
MX17,2022,4.700013319632693,3.78431522,0.006348430769826992,0.07967704041834757,5,test,3.89100218,0.005995190163021986,0.07742861333526506,5,test
MX18,2022,4.607377308024349,6.226112179999999,0.017873564189761895,0.13369204983753483,5,test,6.15058606,0.013589436593842989,0.1165737388687649,5,test
MX19,2022,1.3759007668298902,2.4579042,0.07207505415984501,0.26846797604154765,5,test,2.47287766,0.06236903487956301,0.24973793240027237,5,test
MX20,2022,1.0635641586175046,2.2646400800000004,0.0023395621412570077,0.04836902047030731,5,test,2.21481866,0.003214323844337994,0.056695007225839505,5,test
MX21,2022,1.4757332783363248,2.33714602,0.002251871737761999,0.047453890649366136,5,test,2.34321116,0.0015463351301029942,0.03932346793077887,5,test
MX22,2022,3.387971124159155,5.5113078,0.069310662965445,0.2632691834709201,5,test,5.50325136,0.03617260703586789,0.19019097516934888,5,test
MX23,2022,0.9665499077697056,1.4010438600000001,0.0002291484372229995,0.015137649659805167,5,test,1.43222314,0.0006099428371780015,0.024697020815839337,5,test
MX24,2022,1.0101050193648613,1.9610396399999999,0.016267240843713004,0.1275430940651551,5,test,1.9845658199999998,0.022998598460196973,0.1516528880707419,5,test
MX25,2022,11.694756523920669,9.4938958,0.005377085119700072,0.07332861051254191,5,test,9.5660174,0.005564940672300042,0.07459852996071734,5,test
MX26,2022,10.542731852909402,8.535796000000001,0.0527582702585,0.22969168521846847,5,test,8.32668814,0.057835118607748225,0.24048933158821875,5,test
MX27,2022,1.3170807674142064,1.64144046,0.0006548517003529981,0.02559007034677705,5,test,1.67355494,0.0007721430804229956,0.02778746264816195,5,test
MX28,2022,4.005651383557213,3.6279573400000005,0.04808063145437803,0.2192729610653763,5,test,3.86541992,0.062473219727351946,0.24994643371601033,5,test
MX29,2022,2.332192656483787,2.48522878,0.0010214922070720012,0.031960791715350254,5,test,2.48322532,0.0015541149394770013,0.039422264514827166,5,test
MX30,2022,1.802568210770663,2.2559211400000003,0.004364296403713013,0.06606282164510545,5,test,2.30037876,0.0028654557340830164,0.05352995174743778,5,test
MX31,2022,1.6432073280245798,1.45472912,0.002462682191486996,0.049625418804147094,5,test,1.5000749199999999,0.0029919125262570013,0.05469837772966399,5,test
MX32,2022,2.8719075533763974,3.15258684,0.01817362509467297,0.13480958828908635,5,test,3.1059830600000002,0.014462439269827987,0.12025988221276449,5,test
